Model,Accuracy (%),Training Time (s),Inference Time (ms),Total Energy Consumption (J),Model Size (MB)
AdaBoost,88.3454203599248,885.9658368,5.563636054,2531.33184019371,203.392447471619
XGBoost,89.112543647596,495.9283112,1.528099706,2612.49709443099,236.518204689026
LightGBM,89.2696558592881,543.8373991,1.691788327,2564.20411622276,313.293564796448
GentleBoost,88.8987375772227,625.044539,3.717846912,2489.66305084746,220.024896621704
LogitBoost,88.2981466559226,592.2644083,3.720448895,2584.96292978208,175.578015327454
